Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 11/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B65SQW4,Enphase Energy Inc,ENPH,0.01%,Semiconductor Materials & Equipment,US,---,"$1,766,483.30","24,758"


Fixed income,as of 11/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*,FACEAMOUNT,COUPONYIELD,MATURITY DATE



Short-term reserves,as of 11/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*
,---,MKTLIQ,---,0.03%,"$4,301,979.76"
,---,Synthetic Cash - CMS USD,---,<0.01%,"$620,000.00"
,---,Synthetic Cash - ZVGI USD,---,<0.01%,"$363,000.00"
,---,Synthetic Cash - QMS USD,---,<0.01%,"$82,115.12"
,---,SLCMT1142,---,<0.01%,$599.94



"** There may be deviations when applying fair value and other considerations."



"Sector categories are based on the Global Industry Classification Standard (“GICS”), except for the “Other” category (if applicable), which includes securities that have not been provided a GICS classification as of the effective reporting period."



"For more information about Vanguard funds and Vanguard ETF Shares, visit advisors.vanguard.com or call 800-997-2798 to obtain a prospectus or, if available, a summary prospectus. Investment objectives, risks, charges, expenses, and other important information about a fund are contained in the prospectus; read and consider it carefully before investing."
